hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy
0,0,1,20.5,67.4,0.0,0.0,0.6,2.16,2.76,280,772.8,22.1,56.7,-0.46,9.4,0.0,free_float,0.0,22.1,55.0,-0.46,9.4,0.0,free_float,0.0,22.1,55.0,-0.46,9.4,0.0,free_float,0.0,22.1,56.8,-0.46,9.4,0.0,free_float,0.0,22.1,56.0,-0.46,9.4,0.0,free_float,0.0
1,1,1,18.9,70.7,0.0,0.0,0.6,2.16,2.76,260,717.6,22.2,60.4,-0.43,8.9,0.0,free_float,0.0,22.2,60.0,-0.43,8.9,0.0,free_float,0.0,22.2,57.8,-0.43,8.9,0.0,free_float,0.0,22.2,59.2,-0.43,8.9,0.0,free_float,0.0,22.2,59.8,-0.43,8.9,0.0,free_float,0.0
2,2,1,17.9,70.8,0.0,0.0,0.6,2.16,2.76,250,690.0,22.2,62.1,-0.4,8.3,0.0,free_float,0.0,22.2,64.7,-0.4,8.3,0.0,free_float,0.0,22.2,61.5,-0.4,8.3,0.0,free_float,0.0,22.2,62.7,-0.4,8.3,0.0,free_float,0.0,22.2,61.7,-0.4,8.3,0.0,free_float,0.0
3,3,1,18.1,70.1,0.0,0.0,0.6,2.16,2.76,240,662.4,22.2,64.9,-0.4,8.3,0.0,free_float,0.0,22.2,65.7,-0.4,8.3,0.0,free_float,0.0,22.2,63.8,-0.4,8.3,0.0,free_float,0.0,22.2,64.3,-0.4,8.3,0.0,free_float,0.0,22.2,66.1,-0.4,8.3,0.0,free_float,0.0
4,4,1,18.7,66.1,0.0,0.0,0.6,2.16,2.76,250,690.0,22.3,64.0,-0.4,8.3,0.0,free_float,0.0,22.3,66.0,-0.39,8.2,0.0,free_float,0.0,22.3,62.5,-0.4,8.3,0.0,free_float,0.0,22.3,63.5,-0.4,8.3,0.0,free_float,0.0,22.3,66.3,-0.39,8.2,0.0,free_float,0.0
5,5,1,19.8,68.9,0.0,0.0,0.6,2.16,2.76,270,745.2,22.4,65.2,-0.36,7.7,0.0,free_float,0.0,22.4,65.4,-0.36,7.7,0.0,free_float,0.0,22.4,63.7,-0.36,7.7,0.0,free_float,0.0,22.4,64.7,-0.36,7.7,0.0,free_float,0.0,22.4,68.1,-0.35,7.5,0.0,free_float,0.0
6,6,1,20.4,62.6,0.0,0.0,0.6,2.16,2.76,350,966.0,22.5,65.3,-0.32,7.1,0.0,free_float,0.1,22.5,65.5,-0.32,7.1,0.0,free_float,0.1,22.5,64.1,-0.32,7.1,0.0,free_float,0.1,22.5,63.9,-0.32,7.1,0.0,free_float,0.1,22.5,65.8,-0.32,7.1,0.0,free_float,0.1
7,7,1,20.0,71.5,128.0,0.0,3.0,3.24,6.24,420,2620.8,22.8,66.0,-0.21,5.9,0.0,free_float,0.5,22.9,68.1,-0.18,5.7,0.0,free_float,0.5,22.9,67.7,-0.19,5.7,0.0,free_float,0.5,22.8,66.1,-0.22,6.0,0.0,free_float,0.5,22.8,68.5,-0.22,6.0,0.0,free_float,0.5
8,8,1,22.9,64.0,322.2,0.0,5.4,5.832,11.232,480,5391.4,23.5,65.7,0.0,5.0,0.0,free_float,0.9,23.7,70.0,0.08,5.1,0.0,free_float,0.9,23.7,65.7,0.09,5.2,0.0,free_float,0.9,23.4,65.1,-0.02,5.0,0.0,free_float,0.9,23.4,67.1,-0.02,5.0,0.0,free_float,0.9
9,9,1,22.9,69.0,425.3,1.906,6.0,6.48,14.386,500,7193.0,24.1,68.2,0.21,5.9,0.346,cooling,1.0,23.9,68.9,0.15,5.5,0.459,cooling,1.0,23.9,67.6,0.15,5.5,0.964,cooling,1.0,24.1,65.7,0.2,5.8,0.046,cooling,1.0,24.1,67.8,0.22,6.0,0.092,cooling,1.0
10,10,1,26.2,61.1,480.6,5.816,6.0,6.48,18.296,490,8965.0,24.3,65.8,0.26,6.4,1.283,cooling,1.0,23.5,66.9,0.01,5.0,0.629,cooling,1.0,23.9,65.4,0.15,5.5,1.383,cooling,1.0,24.1,64.2,0.21,5.9,0.84,cooling,1.0,24.0,63.8,0.19,5.7,1.68,cooling,1.0
11,11,1,26.0,67.6,714.7,5.786,6.0,6.48,18.266,470,8585.0,24.0,66.4,0.18,5.7,1.639,cooling,1.0,24.5,66.9,0.34,7.4,0.204,cooling,1.0,24.1,66.0,0.2,5.8,1.643,cooling,1.0,23.8,66.4,0.1,5.2,0.837,cooling,1.0,24.2,65.7,0.23,6.1,1.463,cooling,1.0
12,12,1,27.2,66.7,694.2,6.629,4.8,5.184,16.613,450,7475.8,23.8,66.6,0.12,5.3,1.054,cooling,0.8,23.9,67.8,0.15,5.5,1.141,cooling,0.8,24.3,67.1,0.29,6.7,1.744,cooling,0.8,24.0,66.1,0.18,5.7,1.04,cooling,0.8,24.1,64.8,0.22,6.0,1.649,cooling,0.8
13,13,1,29.2,58.1,652.8,7.109,6.0,6.48,19.589,460,9010.9,23.9,64.9,0.16,5.5,0.988,cooling,1.0,23.8,65.1,0.1,5.2,0.68,cooling,1.0,24.3,62.8,0.26,6.4,2.208,cooling,1.0,24.0,64.0,0.19,5.7,1.45,cooling,1.0,24.2,61.6,0.23,6.1,1.782,cooling,1.0
14,14,1,28.3,63.2,753.5,7.428,6.0,6.48,19.908,480,9555.8,24.1,65.6,0.22,6.0,1.142,cooling,1.0,24.0,65.4,0.2,5.8,0.56,cooling,1.0,24.0,61.7,0.19,5.7,2.302,cooling,1.0,24.2,65.1,0.25,6.3,1.462,cooling,1.0,24.1,61.1,0.22,6.0,1.963,cooling,1.0
15,15,1,28.9,57.7,666.0,7.169,6.0,6.48,19.649,500,9824.5,24.1,64.1,0.21,5.9,1.407,cooling,1.0,24.4,62.8,0.3,6.9,0.781,cooling,1.0,23.8,59.6,0.12,5.3,1.794,cooling,1.0,23.8,62.8,0.12,5.3,1.414,cooling,1.0,24.1,60.4,0.2,5.8,1.772,cooling,1.0
