hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,north_perimeter_heating_sp,north_perimeter_cooling_sp,north_perimeter_lighting_frac,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,east_perimeter_heating_sp,east_perimeter_cooling_sp,east_perimeter_lighting_frac,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,south_perimeter_heating_sp,south_perimeter_cooling_sp,south_perimeter_lighting_frac,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,west_perimeter_heating_sp,west_perimeter_cooling_sp,west_perimeter_lighting_frac,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy,core_heating_sp,core_cooling_sp,core_lighting_frac
0,0,1,20.5,67.4,0.0,0.0,0.6,2.16,2.76,280,772.8,22.1,56.7,-0.46,9.4,0.0,free_float,0.0,18.0,28.0,0.1,22.1,55.0,-0.46,9.4,0.0,free_float,0.0,18.0,28.0,0.1,22.1,55.0,-0.46,9.4,0.0,free_float,0.0,18.0,28.0,0.1,22.1,56.8,-0.46,9.4,0.0,free_float,0.0,18.0,28.0,0.1,22.1,56.0,-0.46,9.4,0.0,free_float,0.0,18.0,28.0,0.1
1,1,1,18.8,72.0,0.0,0.0,0.06,2.16,2.22,260,577.2,22.1,60.7,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,59.1,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,59.9,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,60.8,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,60.8,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1
2,2,1,19.2,71.5,0.0,0.0,0.06,2.16,2.22,250,555.0,22.1,64.7,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1,22.1,62.6,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,62.8,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,62.5,-0.44,9.0,0.0,free_float,0.0,18.0,28.0,0.1,22.1,65.1,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1
3,3,1,19.7,66.9,0.0,0.0,0.06,2.16,2.22,240,532.8,22.2,64.9,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1,22.2,64.8,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1,22.2,64.4,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1,22.2,63.3,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1,22.2,66.2,-0.43,8.9,0.0,free_float,0.0,18.0,28.0,0.1
4,4,1,18.7,76.6,0.0,0.0,0.06,2.16,2.22,250,555.0,22.2,68.7,-0.4,8.3,0.0,free_float,0.0,18.0,28.0,0.1,22.2,68.3,-0.4,8.3,0.0,free_float,0.0,18.0,28.0,0.1,22.2,66.9,-0.4,8.3,0.0,free_float,0.0,18.0,28.0,0.1,22.2,68.4,-0.4,8.3,0.0,free_float,0.0,18.0,28.0,0.1,22.2,70.0,-0.4,8.3,0.0,free_float,0.0,18.0,28.0,0.1
5,5,1,20.3,75.6,0.0,0.0,0.06,2.16,2.22,270,599.4,22.3,70.0,-0.39,8.2,0.0,free_float,0.0,18.0,28.0,0.1,22.3,69.0,-0.39,8.2,0.0,free_float,0.0,18.0,28.0,0.1,22.3,70.0,-0.39,8.2,0.0,free_float,0.0,18.0,28.0,0.1,22.3,70.0,-0.39,8.2,0.0,free_float,0.0,18.0,28.0,0.1,22.3,70.0,-0.39,8.2,0.0,free_float,0.0,18.0,28.0,0.1
6,6,1,21.1,69.0,0.0,0.0,0.06,2.16,2.22,350,777.0,22.4,70.0,-0.35,7.5,0.0,free_float,0.1,18.0,23.0,0.1,22.4,69.6,-0.35,7.5,0.0,free_float,0.1,18.0,23.0,0.1,22.4,68.8,-0.35,7.5,0.0,free_float,0.1,18.0,23.0,0.1,22.4,68.6,-0.35,7.5,0.0,free_float,0.1,18.0,23.0,0.1,22.4,70.0,-0.35,7.5,0.0,free_float,0.1,18.0,23.0,0.1
7,7,1,21.7,68.4,170.9,0.0,0.3,3.24,3.54,420,1486.8,22.6,70.0,-0.26,6.4,0.0,free_float,0.5,19.5,25.5,0.8,22.7,70.0,-0.23,6.1,0.0,free_float,0.5,20.0,25.5,0.8,22.7,68.7,-0.23,6.1,0.0,free_float,0.5,20.0,25.5,0.8,22.6,69.9,-0.28,6.6,0.0,free_float,0.5,20.0,25.5,0.8,22.6,70.0,-0.28,6.6,0.0,free_float,0.5,20.0,25.5,0.9
8,8,1,22.6,67.5,276.6,0.0,4.482,5.832,10.314,480,4950.7,23.2,70.0,-0.08,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.4,68.5,-0.02,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.5,68.2,0.0,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.1,69.7,-0.1,5.2,0.0,free_float,0.9,20.0,26.0,0.8,23.2,70.0,-0.09,5.2,0.0,free_float,0.9,20.0,26.0,0.9
9,9,1,25.2,59.8,424.4,0.0,4.98,6.48,11.46,500,5730.0,23.9,67.8,0.16,5.5,0.0,free_float,1.0,20.0,26.0,0.8,24.1,65.7,0.22,6.0,0.0,free_float,1.0,20.0,26.0,0.5,24.5,65.7,0.33,7.3,0.0,free_float,1.0,20.0,26.0,0.8,23.7,67.4,0.09,5.2,0.0,free_float,1.0,20.0,26.5,0.8,23.9,67.1,0.13,5.4,0.0,free_float,1.0,20.0,26.0,0.9
10,10,1,24.0,61.3,583.5,0.0,4.71,6.48,11.19,490,5483.1,24.6,65.6,0.39,8.2,0.0,free_float,1.0,20.0,25.5,0.8,24.6,64.2,0.38,8.0,0.0,free_float,1.0,20.0,25.5,0.5,25.5,65.5,0.69,15.0,0.0,free_float,1.0,20.0,26.0,0.4,24.3,66.4,0.28,6.6,0.0,free_float,1.0,20.0,26.5,0.4,24.5,66.2,0.35,7.5,0.0,free_float,1.0,20.0,25.5,0.9
11,11,1,26.1,62.4,535.5,0.629,3.87,6.48,10.979,470,5160.1,25.3,66.0,0.63,13.3,0.0,free_float,1.0,20.0,25.5,0.8,25.1,63.2,0.56,11.6,0.0,free_float,1.0,20.0,25.5,0.5,26.0,65.1,0.85,20.2,0.629,cooling,1.0,20.0,26.0,0.4,24.8,66.1,0.45,9.2,0.0,free_float,1.0,20.0,26.0,0.4,25.1,66.2,0.56,11.6,0.0,free_float,1.0,20.0,25.5,0.9
12,12,1,27.9,68.7,708.8,2.523,3.096,5.184,10.803,450,4861.4,25.9,66.0,0.82,19.2,0.705,cooling,0.8,20.0,25.5,0.8,25.7,65.0,0.73,16.2,0.076,cooling,0.8,20.0,25.5,0.8,26.4,65.4,0.98,25.3,1.426,cooling,0.8,20.0,26.0,0.4,25.9,66.0,0.79,18.2,0.0,free_float,0.8,20.0,26.0,0.4,25.4,64.8,0.64,13.6,0.316,cooling,0.8,20.0,25.5,0.9
13,13,1,28.8,59.8,668.1,7.154,4.14,6.48,17.774,460,8176.0,25.2,64.7,0.58,12.0,1.725,cooling,1.0,20.0,25.5,0.8,25.7,65.0,0.74,16.5,0.913,cooling,1.0,20.0,25.5,0.8,25.8,63.4,0.78,17.8,2.106,cooling,1.0,20.0,26.0,0.4,26.0,66.2,0.86,20.6,1.166,cooling,1.0,20.0,26.0,0.4,25.5,64.9,0.68,14.7,1.244,cooling,1.0,20.0,25.5,0.9
14,14,1,29.3,62.0,622.9,5.523,4.14,6.48,16.143,480,7748.6,25.6,64.3,0.72,15.9,0.737,cooling,1.0,20.0,25.5,0.8,25.3,63.6,0.61,12.8,0.921,cooling,1.0,20.0,25.5,0.8,25.8,62.9,0.77,17.5,1.222,cooling,1.0,20.0,26.0,0.4,26.2,64.0,0.9,22.1,1.171,cooling,1.0,20.0,26.0,0.4,25.6,63.5,0.71,15.6,1.472,cooling,1.0,20.0,25.5,0.9
15,15,1,30.4,59.5,619.7,6.028,4.14,6.48,16.648,500,8324.0,25.3,62.0,0.62,13.1,1.323,cooling,1.0,20.0,25.0,0.8,25.5,62.3,0.66,14.2,0.518,cooling,1.0,20.0,25.0,0.8,25.8,61.2,0.77,17.5,1.244,cooling,1.0,20.0,25.5,0.4,25.8,62.3,0.79,18.2,1.222,cooling,1.0,20.0,25.5,0.4,25.5,63.2,0.69,15.0,1.721,cooling,1.0,20.0,25.0,0.9
16,16,1,29.5,60.4,458.8,7.721,3.726,5.832,17.279,520,8985.1,25.0,61.8,0.5,10.2,1.456,cooling,0.9,20.0,25.5,0.8,25.1,61.0,0.52,10.7,1.186,cooling,0.9,20.0,25.5,0.8,25.4,61.5,0.64,13.6,1.684,cooling,0.9,20.0,26.0,0.8,25.5,63.8,0.69,15.0,0.978,cooling,0.9,20.0,26.0,0.8,25.3,63.3,0.62,13.1,2.418,cooling,0.9,20.0,25.5,0.9
17,17,1,27.9,62.4,376.3,0.401,2.49,3.24,6.131,550,3372.0,25.4,62.1,0.65,13.9,0.0,free_float,0.5,20.0,25.5,0.8,25.4,61.3,0.65,13.9,0.0,free_float,0.5,20.0,25.5,0.8,26.2,62.0,0.91,22.5,0.061,cooling,0.5,20.0,25.5,0.8,25.8,63.7,0.78,17.8,0.0,free_float,0.5,20.0,25.5,0.8,25.4,62.5,0.65,13.9,0.34,cooling,0.5,20.0,25.5,0.9
18,18,1,28.1,62.2,277.8,2.708,0.996,2.16,5.864,530,3107.9,25.6,61.7,0.69,15.0,0.243,cooling,0.2,18.0,28.0,0.1,25.6,63.8,0.72,15.9,0.111,cooling,0.2,18.0,28.0,0.1,25.5,62.3,0.68,14.7,1.588,cooling,0.2,18.0,28.0,0.1,25.4,62.4,0.64,13.6,0.533,cooling,0.2,18.0,28.0,0.1,25.7,61.6,0.73,16.2,0.233,cooling,0.2,18.0,28.0,0.1
19,19,1,27.0,59.2,151.6,0.0,0.06,2.16,2.22,480,1065.6,25.8,61.0,0.76,17.2,0.0,free_float,0.1,18.0,28.0,0.1,25.7,64.2,0.75,16.8,0.0,free_float,0.1,18.0,28.0,0.1,25.7,62.0,0.75,16.8,0.0,free_float,0.1,18.0,28.0,0.1,25.5,61.7,0.68,14.7,0.0,free_float,0.1,18.0,28.0,0.1,25.8,61.3,0.78,17.8,0.0,free_float,0.1,18.0,28.0,0.1
